"Timestamp","Username","Name","EnrollmentNumber","Year","Term","TeacherName","Subject","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"2018/05/23 1:38:47 PM GMT+1:30","vineetswant@gmail.com","Vineet","180213006","2018","Even","Radhika Prabhu","Computer Graphics","3","3","1","1","1","1","3","1","3","1","1","1"
"2018/05/23 1:38:47 PM GMT+1:30","anilyadav@gmail.com","Anil","180213007","2018","Even","Radhika Prabhu","Computer Graphics","3","3","1","3","1","1","1","1","1","3","1","1"
"2018/05/23 1:38:47 PM GMT+1:30","vincentdagama@gmail.com","Vincent","180213008","2018","Even","Radhika Prabhu","Computer Graphics","3","3","1","3","2","1","3","1","3","3","2","1"
"2018/05/23 1:38:47 PM GMT+1:30","rahulnaik@gmail.com","Rahul","180213009","2018","Even","Radhika Prabhu","Computer Graphics","1","2","1","3","4","1","2","1","2","3","2","1"
"2018/05/23 1:38:47 PM GMT+1:30","liviomas@gmail.com","Livio","1802130010","2018","Even","Radhika Prabhu","Computer Graphics","3","1","1","3","1","1","1","1","1","3","1","4"
"2018/05/23 1:38:47 PM GMT+1:30","janmenjaysawant@gmail.com","Janmenjay","1802130011","2018","Even","Radhika Prabhu","Computer Graphics","3","1","1","3","1","1","3","1","3","1","1","1"
"2018/05/23 1:38:47 PM GMT+1:30","pareshdhargalkar@gmail.com","Paresh","1802130012","2018","Even","Radhika Prabhu","Computer Graphics","1","3","1","4","1","3","1","4","2","3","1","1"
"2018/05/23 1:38:47 PM GMT+1:30","fioladsouza@gmail.com","Fiola","180213006","2018","Even","Radhika Prabhu","Computer Graphics","3","1","3","4","1","4","4","1","2","3","1","1"
"2018/05/23 1:38:47 PM GMT+1:30","chaitanyachanekar@gmail.com","Chaitanya","1802130013","2018","Even","Radhika Prabhu","Computer Graphics","3","1","3","3","1","1","4","1","3","1","1","1"
"2018/05/23 1:38:47 PM GMT+1:30","jonathanrebello@gmail.com","Jonathan","1802130014","2018","Even","Radhika Prabhu","Computer Graphics","3","2","4","1","1","3","3","1","3","1","2","1"
