Timestamp,Username,Name,EnrollmentNumber,Year,Term,TeacherName,Subject,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
2021/05/23 5:38:47 PM GMT+5:30,vineetswant@gmail.com,Vineet,180213006,2020,Even,Radhika Prabhu,Computer Graphics,1,2,5,2,2,1,3,5,1,5,1,3
2021/05/23 5:38:47 PM GMT+5:30,anilyadav@gmail.com,Anil,180213007,2020,Even,Radhika Prabhu,Computer Graphics,3,4,2,1,1,5,5,4,4,1,2,2
2021/05/23 5:38:47 PM GMT+5:30,vincentdagama@gmail.com,Vincent,180213008,2020,Even,Radhika Prabhu,Computer Graphics,3,3,4,3,5,2,3,2,1,3,2,2
2021/05/23 5:38:47 PM GMT+5:30,rahulnaik@gmail.com,Rahul,180213009,2020,Even,Radhika Prabhu,Computer Graphics,1,2,5,1,5,2,4,2,5,2,2,5
2021/05/23 5:38:47 PM GMT+5:30,liviomas@gmail.com,Livio,1802130010,2020,Even,Radhika Prabhu,Computer Graphics,3,5,2,5,4,3,4,1,1,4,1,5
2021/05/23 5:38:47 PM GMT+5:30,janmenjaysawant@gmail.com,Janmenjay,1802130011,2020,Even,Radhika Prabhu,Computer Graphics,1,5,5,5,1,1,3,1,1,1,5,3
2021/05/23 5:38:47 PM GMT+5:30,pareshdhargalkar@gmail.com,Paresh,1802130012,2020,Even,Radhika Prabhu,Computer Graphics,5,1,4,4,5,5,5,2,5,3,5,5
2021/05/23 5:38:47 PM GMT+5:30,fioladsouza@gmail.com,Fiola,180213006,2020,Even,Radhika Prabhu,Computer Graphics,1,2,5,4,2,2,4,2,5,3,1,3
2021/05/23 5:38:47 PM GMT+5:30,chaitanyachanekar@gmail.com,Chaitanya,1802130013,2020,Even,Radhika Prabhu,Computer Graphics,1,2,3,1,5,2,4,5,5,4,2,5
2021/05/23 5:38:47 PM GMT+5:30,jonathanrebello@gmail.com,Jonathan,1802130014,2020,Even,Radhika Prabhu,Computer Graphics,3,5,2,2,5,3,5,1,1,2,2,5
