"Timestamp","Username","Name","EnrollmentNumber","Year","Term","TeacherName","Subject","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"2021/04/14 9:40:14 PM GMT+5:30","student1@gamil.com","Student One","1801","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","5","4","5","4","5","4","3","3","4","3","2","3"
"2021/04/14 9:40:49 PM GMT+5:30","student2@gmail.com","Student Two","1802","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","3","4","4","3","4","4","5","5","4","5","4","5"
"2021/04/14 9:41:22 PM GMT+5:30","student3@gamil.com","Student Three","1803","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","5","4","3","3","2","3","3","3","3","4","3","4"
"2021/04/14 9:41:54 PM GMT+5:30","student4@gmail.com","Student Four","1804","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","3","4","4","5","5","1","5","1","3","3","2","2"
"2021/04/14 9:42:30 PM GMT+5:30","student5@gmail.com","Student Five","1805","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","5","5","5","5","5","5","5","5","5","5","5","5"
"2021/04/19 5:14:18 PM GMT+5:30","student6@gmail.com","Student Six","1806","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","5","5","4","5","4","4","3","4","3","2","5","3"
"2021/04/19 5:15:03 PM GMT+5:30","student7@gmail.com","Student Seven","1807","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","3","4","4","3","2","3","5","5","5","4","5","5"
"2021/04/19 5:16:02 PM GMT+5:30","student8@gmail.com","Student Eight","1808","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","4","4","3","5","4","5","3","2","1","2","2","5"
"2021/04/19 5:16:45 PM GMT+5:30","student9@gamil.com","Student Nine","1809","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","1","5","4","5","4","4","4","2","4","2","5","5"
"2021/04/19 5:17:31 PM GMT+5:30","student10@gamil.com","Student Ten","1810","2019","Even","Sanjeet Kanekar","Advance Computer Architecture","2","3","5","4","3","4","2","1","5","4","4","5"
