"Timestamp","Username","Name","EnrollmentNumber","TeacherName","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"2021/04/02 1:06:41 PM GMT+5:30","student1@gamil.com","Student One","1801","Savio DeSouza","5","3","5","4","4","5","3","5","4","4","4","3"
"2021/04/02 1:10:00 PM GMT+5:30","student6@gmail.com","Student six ","1806","Savio DeSouza","1","3","5","3","1","4","2","3","5","2","1","4"
"2021/04/02 1:10:38 PM GMT+5:30","student2@gmail.com","Student Two","1802","Savio DeSouza","5","2","4","4","5","3","3","4","4","5","4","3"
"2021/04/02 1:14:19 PM GMT+5:30","student7@gmail.com","Student Seven","1807","Savio DeSouza","1","5","2","4","3","1","5","2","4","3","1","5"
"2021/04/02 1:14:20 PM GMT+5:30","student3@gamil.com","Student Three","1803","Savio DeSouza","5","4","5","3","3","5","5","4","4","2","3","5"
"2021/04/02 1:18:57 PM GMT+5:30","student4@gmail.com","Student Four","1804","Savio DeSouza","3","5","5","3","4","4","5","5","5","5","4","4"
"2021/04/02 1:21:40 PM GMT+5:30","student5@gmail.com","Student Five","1805","Savio DeSouza","2","3","5","3","5","3","4","4","4","2","3","3"
"2021/04/02 1:25:19 PM GMT+5:30","student9@gmail.com","Student Nine","1809","Savio DeSouza","2","4","4","4","3","5","5","4","3","5","4","4"
"2021/04/02 1:25:47 PM GMT+5:30","student8@gmail.com","Student Eight","1808","Savio DeSouza","1","5","2","3","2","4","1","4","2","3","1","4"
"2021/04/02 1:30:07 PM GMT+5:30","student10@gmail.com","Student Ten","1810","Savio DeSouza","4","1","4","2","5","3","3","5","5","4","4","5"
