"Timestamp","Username","Name","EnrollmentNumber","TeacherName","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"2021/04/02 1:07:24 PM GMT+5:30","student1@gamil.com","Student One","1801","Swizel Fernandes","5","2","4","4","2","4","3","3","3","4","5","3"
"2021/04/02 1:10:47 PM GMT+5:30","student6@gmail.com","Student six","1806","Swizel Fernandes","1","2","3","4","5","1","2","3","4","5","1","2"
"2021/04/02 1:11:26 PM GMT+5:30","student2@gmail.com","Student Two","1802","Swizel Fernandes","5","4","5","4","3","5","4","4","5","5","5","4"
"2021/04/02 1:15:08 PM GMT+5:30","student3@gamil.com","Student Three","1803","Swizel Fernandes","5","4","2","2","2","3","5","4","3","5","4","4"
"2021/04/02 1:15:22 PM GMT+5:30","student7@gmail.com","Student Seven","1807","Swizel Fernandes","4","2","5","3","1","5","2","1","5","3","2","4"
"2021/04/02 1:19:37 PM GMT+5:30","student4@gmail.com","Student Four","1804","Swizel Fernandes","2","4","4","5","3","4","5","3","4","5","4","5"
"2021/04/02 1:22:21 PM GMT+5:30","student5@gmail.com","Student Five","1805","Swizel Fernandes","1","2","5","4","4","1","2","5","4","3","3","3"
"2021/04/02 1:25:51 PM GMT+5:30","student9@gmail.com","Student Nine","1809","Swizel Fernandes","3","4","5","4","3","4","4","2","5","3","5","1"
"2021/04/02 1:26:34 PM GMT+5:30","student8@gmail.com","Student Eight","1808","Swizel Fernandes","2","4","2","3","5","1","3","2","4","4","3","2"
"2021/04/02 1:30:59 PM GMT+5:30","student10@gmail.com","Student Ten","1810","Swizel Fernandes","3","4","4","1","5","5","4","4","1","1","5","5"
